p,p2,distance,pos_p_x,pos_p_y,pos_p_z,pos_p2_x,pos_p2_y,pos_p2_z
23027,23029,0.0000256064,-0.4787851915101238,0.8724299881249771,-0.917138130959828,-0.4787971048792436,0.8724112758930961,-0.9171612055742938
22961,22963,0.0000257171,-0.478413385448492,0.8730890879075245,-0.9164168073266294,-0.4784253612703799,0.8730703311078358,-0.9164400053575112
22859,22861,0.0000258896,-0.4778346635154407,0.874110650736197,-0.9152939071362561,-0.4778467367324259,0.8740918246947533,-0.9153172976447718
22739,22741,0.0000260950,-0.4771473530673543,0.8753171071412591,-0.9139600789233838,-0.47715954224972096,0.8752981990681801,-0.91398369862448
22697,22699,0.0000261675,-0.4769051281801039,0.8757405522491095,-0.9134899459129369,-0.47691735830812976,0.8757216153181229,-0.9135136465424825
22637,22639,0.0000262717,-0.47655758163375744,0.8763465445656334,-0.9128153408882813,-0.47656987058090355,0.8763275662761778,-0.9128391577764673
22619,22621,0.0000263030,-0.47645296949551236,0.8765285884637042,-0.9126122712093258,-0.4764652761634699,0.876509597736121,-0.9126361231243119
22571,22573,0.0000263870,-0.47617321451058614,0.8770145957341025,-0.9120691920028341,-0.4761855686044794,0.8769955717689287,-0.9120931376613871
22541,22543,0.0000264397,-0.47599778258094266,0.8773187623628435,-0.911728611067402,-0.47601016644253746,0.877299717572888,-0.9117526155670987
22481,22483,0.0000265457,-0.47564556166384203,0.8779280491001157,-0.911044766787287,-0.4756580053547489,0.8779089625417801,-0.9110688895534389
22367,22369,0.0000267488,-0.4749713191202865,0.8790892100628398,-0.9097355340589668,-0.47498387757742716,0.8790700437056961,-0.9097598836990265
22277,22279,0.0000269110,-0.4744343274535865,0.8800091871137277,-0.9086926483785982,-0.4744469775383372,0.8799899573483361,-0.9087171791624913
22271,22273,0.0000269219,-0.4743983795612211,0.8800706219512585,-0.9086228292050431,-0.4744110357869013,0.8800513879457381,-0.9086473721296386
22157,22159,0.0000271298,-0.47371181617191893,0.8812403408008097,-0.9072892399939949,-0.47372458985332266,0.8812210259244243,-0.9073140151386704
22109,22111,0.0000272181,-0.4734207042400505,0.8817342550844512,-0.9067237102908827,-0.47343352782251064,0.8817149059810468,-0.9067485840990818
22091,22093,0.0000272513,-0.4733112246240624,0.881919687735626,-0.9065110185429892,-0.47332406698817464,0.8819003257700507,-0.9065359294866943
22037,22039,0.0000273514,-0.472981757954612,0.8824766902752901,-0.9058709111988745,-0.47299465689007025,0.8824572896344003,-0.9058959339991647
21839,21841,0.0000277236,-0.4717603877813738,0.8845281221600603,-0.9034975035060951,-0.47177349709022587,0.8845085785617118,-0.9035229423023953
21737,21739,0.0000279186,-0.47112291437065407,0.8855905326663036,-0.9022584614691534,-0.47113613389249825,0.8855709147123049,-0.9022841182223708
21647,21649,0.0000280925,-0.4705556906913585,0.8865311468177833,-0.9011558019048422,-0.47056900851909284,0.8865114628501073,-0.9011816530788885
21611,21613,0.0000281625,-0.4703275442012137,0.8869082343539879,-0.9007122523052143,-0.47034090163258435,0.8868885238736609,-0.9007381818068766
21599,21601,0.0000281859,-0.4702513349047251,0.8870340373883074,-0.9005640851062289,-0.4702647055732733,0.8870143180567711,-0.9005900407886187
21587,21589,0.0000282094,-0.47017504519024667,0.8871598940789817,-0.9004157588739895,-0.470188429114017,0.8871401658893919,-0.9004417407729811
21557,21559,0.0000282681,-0.46998396834527123,0.887474770796287,-0.9000442460726694,-0.4699973854862373,0.8874550204315906,-0.9000702936705426
21521,21523,0.0000283389,-0.469754009310695,0.8878530666478934,-0.8995971119880731,-0.46976746646214296,0.8878332896164203,-0.8996232387225683
